Name,Type,Syntax,Description,Link
BESSELY,Engineering,"BESSELY(X, N)",Returns the Bessel function Yn(x),https://support.microsoft.com/en-us/office/bessely-function-f3a356b3-da89-42c3-8974-2da54d6353a2
BETADIST,Compatibility,"BETADIST(x,alpha,beta,[A],[B])",Returns the beta cumulative distribution function,https://support.microsoft.com/en-us/office/betadist-function-49f1b9a9-a5da-470f-8077-5f1730b5fd47
BETA.DIST,Statistical,"BETA.DIST(x,alpha,beta,cumulative,[A],[B])",Returns the beta cumulative distribution function,https://support.microsoft.com/en-us/office/beta-dist-function-11188c9c-780a-42c7-ba43-9ecb5a878d31
BETAINV,Compatibility,"BETAINV(probability,alpha,beta,[A],[B])",Returns the inverse of the cumulative distribution function for a specified beta distribution,https://support.microsoft.com/en-us/office/betainv-function-8b914ade-b902-43c1-ac9c-c05c54f10d6c
BETA.INV,Statistical,"BETA.INV(probability,alpha,beta,[A],[B])",Returns the inverse of the cumulative distribution function for a specified beta distribution,https://support.microsoft.com/en-us/office/beta-inv-function-e84cb8aa-8df0-4cf6-9892-83a341d252eb
BIN2DEC,Engineering,BIN2DEC(number),Converts a binary number to decimal,https://support.microsoft.com/en-us/office/bin2dec-function-63905b57-b3a0-453d-99f4-647bb519cd6c
BIN2HEX,Engineering,"BIN2HEX(number, [places])",Converts a binary number to hexadecimal,https://support.microsoft.com/en-us/office/bin2hex-function-0375e507-f5e5-4077-9af8-28d84f9f41cc
BIN2OCT,Engineering,"BIN2OCT(number, [places])",Converts a binary number to octal,https://support.microsoft.com/en-us/office/bin2oct-function-0a4e01ba-ac8d-4158-9b29-16c25c4c23fd
BINOMDIST,Compatibility,"BINOMDIST(number_s,trials,probability_s,cumulative)",Returns the individual term binomial distribution probability,https://support.microsoft.com/en-us/office/binomdist-function-506a663e-c4ca-428d-b9a8-05583d68789c
BINOM.DIST,Statistical,"BINOM.DIST(number_s,trials,probability_s,cumulative)",Returns the individual term binomial distribution probability,https://support.microsoft.com/en-us/office/binom-dist-function-c5ae37b6-f39c-4be2-94c2-509a1480770c
BINOM.DIST.RANGE,Statistical,"BINOM.DIST.RANGE(trials,probability_s,number_s,[number_s2])",Returns the probability of a trial result using a binomial distribution,https://support.microsoft.com/en-us/office/binom-dist-range-function-17331329-74c7-4053-bb4c-6653a7421595
BINOM.INV,Statistical,"BINOM.INV(trials,probability_s,alpha)",Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value,https://support.microsoft.com/en-us/office/binom-inv-function-80a0370c-ada6-49b4-83e7-05a91ba77ac9
BITAND,Engineering,"BITAND( number1, number2)",Returns a 'Bitwise And' of two numbers,https://support.microsoft.com/en-us/office/bitand-function-8a2be3d7-91c3-4b48-9517-64548008563a
BITLSHIFT,Engineering,"BITLSHIFT(number, shift_amount)",Returns a value number shifted left by shift_amount bits,https://support.microsoft.com/en-us/office/bitlshift-function-c55bb27e-cacd-4c7c-b258-d80861a03c9c
BITOR,Engineering,"BITOR(number1, number2)",Returns a bitwise OR of 2 numbers,https://support.microsoft.com/en-us/office/bitor-function-f6ead5c8-5b98-4c9e-9053-8ad5234919b2
BITRSHIFT,Engineering,"BITRSHIFT(number, shift_amount)",Returns a value number shifted right by shift_amount bits,https://support.microsoft.com/en-us/office/bitrshift-function-274d6996-f42c-4743-abdb-4ff95351222c
BITXOR,Engineering,"BITXOR(number1, number2)",Returns a bitwise 'Exclusive Or' of two numbers,https://support.microsoft.com/en-us/office/bitxor-function-c81306a1-03f9-4e89-85ac-b86c3cba10e4
BYCOL,Logical,"BYCOL (array, lambda(column))",Applies a LAMBDA to each column and returns an array of the results,https://support.microsoft.com/en-us/office/bycol-function-58463999-7de5-49ce-8f38-b7f7a2192bfb
BYROW,Logical,"BYROW(array, lambda(row))",Applies a LAMBDA to each row and returns an array of the results,https://support.microsoft.com/en-us/office/byrow-function-2e04c677-78c8-4e6b-8c10-a4602f2602bb
CALL,Add-in and Automation,"Syntax 1
Used with REGISTER
Register_id is the value returned by a previously executed REGISTER or REGISTER.ID function.
CALL(register_id,[argument1],...)

Syntax 2
Used alone (in Microsoft Excel for Windows)
CALL(module_text,procedure,type_text,[argument1],...])",Calls a procedure in a dynamic link library or code resource,https://support.microsoft.com/en-us/office/call-function-32d58445-e646-4ffd-8d5e-b45077a5e995
CEILING,Compatibility,"CEILING(number, significance)",Rounds a number to the nearest integer or to the nearest multiple of significance,https://support.microsoft.com/en-us/office/ceiling-function-0a5cd7c8-0720-4f0a-bd2c-c943e510899f
CEILING.MATH,Math and trigonometry,"CEILING.MATH(number, [significance], [mode])","Rounds a number up, to the nearest integer or to the nearest multiple of significance",https://support.microsoft.com/en-us/office/ceiling-math-function-80f95d2f-b499-4eee-9f16-f795a8e306c8
CEILING.PRECISE,Math and trigonometry,"CEILING.PRECISE(number, [significance])","Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up.",https://support.microsoft.com/en-us/office/ceiling-precise-function-f366a774-527a-4c92-ba49-af0a196e66cb
CELL,Information,"CELL(info_type, [reference])","Returns information about the formatting, location, or contents of a cellThis function is not available in Excel for the web.",https://support.microsoft.com/en-us/office/cell-function-51bd39a5-f338-4dbe-a33f-955d67c2b2cf
CHAR,Text,CHAR(number),Returns the character specified by the code number,https://support.microsoft.com/en-us/office/char-function-bbd249c8-b36e-4a91-8017-1c133f9b837a
CHIDIST,Compatibility,"CHIDIST(x,deg_freedom)",Returns the one-tailed probability of the chi-squared distribution,https://support.microsoft.com/en-us/office/chidist-function-c90d0fbc-5b56-4f5f-ab57-34af1bf6897e
CHIINV,Compatibility,"CHIINV(probability,deg_freedom)",Returns the inverse of the one-tailed probability of the chi-squared distribution,https://support.microsoft.com/en-us/office/chiinv-function-cfbea3f6-6e4f-40c9-a87f-20472e0512af
CHITEST,Compatibility,"CHITEST(actual_range,expected_range)",Returns the test for independence,https://support.microsoft.com/en-us/office/chitest-function-981ff871-b694-4134-848e-38ec704577ac
CHISQ.DIST,Statistical,"CHISQ.DIST(x,deg_freedom,cumulative)",Returns the cumulative beta probability density function,https://support.microsoft.com/en-us/office/chisq-dist-function-8486b05e-5c05-4942-a9ea-f6b341518732
CHISQ.DIST.RT,Statistical,"CHISQ.DIST.RT(x,deg_freedom)",Returns the one-tailed probability of the chi-squared distribution,https://support.microsoft.com/en-us/office/chisq-dist-rt-function-dc4832e8-ed2b-49ae-8d7c-b28d5804c0f2
CHISQ.INV,Statistical,"CHISQ.INV(probability,deg_freedom)",Returns the cumulative beta probability density function,https://support.microsoft.com/en-us/office/chisq-inv-function-400db556-62b3-472d-80b3-254723e7092f
CHISQ.INV.RT,Statistical,"CHISQ.INV.RT(probability,deg_freedom)",Returns the inverse of the one-tailed probability of the chi-squared distribution,https://support.microsoft.com/en-us/office/chisq-inv-rt-function-435b5ed8-98d5-4da6-823f-293e2cbc94fe
CHISQ.TEST,Statistical,"CHISQ.TEST(actual_range,expected_range)",Returns the test for independence,https://support.microsoft.com/en-us/office/chisq-test-function-2e8a7861-b14a-4985-aa93-fb88de3f260f
CHOOSE,Lookup and reference,"CHOOSE(index_num, value1, [value2], ...)",Chooses a value from a list of values,https://support.microsoft.com/en-us/office/choose-function-fc5c184f-cb62-4ec7-a46e-38653b98f5bc
CHOOSECOLS,Lookup and reference,"CHOOSECOLS(array,col_num1,[col_num2],…)",Returns the specified columns from an array,https://support.microsoft.com/en-us/office/choosecols-function-bf117976-2722-4466-9b9a-1c01ed9aebff
CHOOSEROWS,Lookup and reference,"CHOOSEROWS(array,row_num1,[row_num2],…)",Returns the specified rows from an array,https://support.microsoft.com/en-us/office/chooserows-function-51ace882-9bab-4a44-9625-7274ef7507a3
CLEAN,Text,CLEAN(text),Removes all nonprintable characters from text,https://support.microsoft.com/en-us/office/clean-function-26f3d7c5-475f-4a9c-90e5-4b8ba987ba41
CODE,Text,CODE(text),Returns a numeric code for the first character in a text string,https://support.microsoft.com/en-us/office/code-function-c32b692b-2ed0-4a04-bdd9-75640144b928
COLUMN,Lookup and reference,COLUMN([reference]),Returns the column number of a reference,https://support.microsoft.com/en-us/office/column-function-44e8c754-711c-4df3-9da4-47a55042554b
COLUMNS,Lookup and reference,COLUMNS(array),Returns the number of columns in a reference,https://support.microsoft.com/en-us/office/columns-function-4e8e7b4e-e603-43e8-b177-956088fa48ca
COMBIN,Math and trigonometry,"COMBIN(number, number_chosen)",Returns the number of combinations for a given number of objects,https://support.microsoft.com/en-us/office/combin-function-12a3f276-0a21-423a-8de6-06990aaf638a
COMBINA,Math and trigonometry,"COMBINA(number, number_chosen)",Returns the number of combinations with repetitions for a given number of items,https://support.microsoft.com/en-us/office/combina-function-efb49eaa-4f4c-4cd2-8179-0ddfcf9d035d
COMPLEX,Engineering,"COMPLEX(real_num, i_num, [suffix])",Converts real and imaginary coefficients into a complex number,https://support.microsoft.com/en-us/office/complex-function-f0b8f3a9-51cc-4d6d-86fb-3a9362fa4128
CONCAT,Text,"CONCAT(text1, [text2],…)","Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments.",https://support.microsoft.com/en-us/office/concat-function-9b1a9a3f-94ff-41af-9736-694cbd6b4ca2
CONCATENATE,Text,"CONCATENATE(text1, [text2], ...)",Joins several text items into one text item,https://support.microsoft.com/en-us/office/concatenate-function-8f8ae884-2ca8-4f7a-b093-75d702bea31d
CONFIDENCE,Compatibility,"CONFIDENCE(alpha,standard_dev,size)",Returns the confidence interval for a population mean,https://support.microsoft.com/en-us/office/confidence-function-75ccc007-f77c-4343-bc14-673642091ad6
CONFIDENCE.NORM,Statistical,"CONFIDENCE.NORM(alpha,standard_dev,size)",Returns the confidence interval for a population mean,https://support.microsoft.com/en-us/office/confidence-norm-function-7cec58a6-85bb-488d-91c3-63828d4fbfd4
CONFIDENCE.T,Statistical,"CONFIDENCE.T(alpha,standard_dev,size)","Returns the confidence interval for a population mean, using a Student's t distribution",https://support.microsoft.com/en-us/office/confidence-t-function-e8eca395-6c3a-4ba9-9003-79ccc61d3c53
CONVERT,Engineering,"CONVERT(number,from_unit,to_unit)",Converts a number from one measurement system to another,https://support.microsoft.com/en-us/office/convert-function-d785bef1-808e-4aac-bdcd-666c810f9af2
CORREL,Statistical,"CORREL(array1, array2)",Returns the correlation coefficient between two data sets,https://support.microsoft.com/en-us/office/correl-function-995dcef7-0c0a-4bed-a3fb-239d7b68ca92
COS,Math and trigonometry,COS(number),Returns the cosine of a number,https://support.microsoft.com/en-us/office/cos-function-0fb808a5-95d6-4553-8148-22aebdce5f05
COSH,Math and trigonometry,COSH(number),Returns the hyperbolic cosine of a number,https://support.microsoft.com/en-us/office/cosh-function-e460d426-c471-43e8-9540-a57ff3b70555
COT,Math and trigonometry,COT(number),Returns the hyperbolic cosine of a number,https://support.microsoft.com/en-us/office/cot-function-c446f34d-6fe4-40dc-84f8-cf59e5f5e31a
COTH,Math and trigonometry,COTH(number),Returns the cotangent of an angle,https://support.microsoft.com/en-us/office/coth-function-2e0b4cb6-0ba0-403e-aed4-deaa71b49df5
COUNT,Statistical,"COUNT(value1, [value2], ...)",Counts how many numbers are in the list of arguments,https://support.microsoft.com/en-us/office/count-function-a59cd7fc-b623-4d93-87a4-d23bf411294c
COUNTA,Statistical,"COUNTA(value1, [value2], ...)",Counts how many values are in the list of arguments,https://support.microsoft.com/en-us/office/counta-function-7dc98875-d5c1-46f1-9a82-53f3219e2509
COUNTBLANK,Statistical,COUNTBLANK(range),Counts the number of blank cells within a range,https://support.microsoft.com/en-us/office/countblank-function-6a92d772-675c-4bee-b346-24af6bd3ac22
COUNTIF,Statistical,"COUNTIF(range, criteria)",Counts the number of cells within a range that meet the given criteria,https://support.microsoft.com/en-us/office/countif-function-e0de10c6-f885-4e71-abb4-1f464816df34
COUNTIFS,Statistical,"COUNTIFS(criteria_range1, criteria1, [criteria_range2, criteria2]…)",Counts the number of cells within a range that meet multiple criteria,https://support.microsoft.com/en-us/office/countifs-function-dda3dc6e-f74e-4aee-88bc-aa8c2a866842
COUPDAYBS,Financial,"COUPDAYBS(settlement, maturity, frequency, [basis])",Returns the number of days from the beginning of the coupon period to the settlement date,https://support.microsoft.com/en-us/office/coupdaybs-function-eb9a8dfb-2fb2-4c61-8e5d-690b320cf872
COUPDAYS,Financial,"COUPDAYS(settlement, maturity, frequency, [basis])",Returns the number of days in the coupon period that contains the settlement date,https://support.microsoft.com/en-us/office/coupdays-function-cc64380b-315b-4e7b-950c-b30b0a76f671
COUPDAYSNC,Financial,"COUPDAYSNC(settlement, maturity, frequency, [basis])",Returns the number of days from the settlement date to the next coupon date,https://support.microsoft.com/en-us/office/coupdaysnc-function-5ab3f0b2-029f-4a8b-bb65-47d525eea547
COUPNCD,Financial,"COUPNCD(settlement, maturity, frequency, [basis])",Returns the next coupon date after the settlement date,https://support.microsoft.com/en-us/office/coupncd-function-fd962fef-506b-4d9d-8590-16df5393691f
COUPNUM,Financial,"COUPNUM(settlement, maturity, frequency, [basis])",Returns the number of coupons payable between the settlement date and maturity date,https://support.microsoft.com/en-us/office/coupnum-function-a90af57b-de53-4969-9c99-dd6139db2522
COUPPCD,Financial,"COUPPCD(settlement, maturity, frequency, [basis])",Returns the previous coupon date before the settlement date,https://support.microsoft.com/en-us/office/couppcd-function-2eb50473-6ee9-4052-a206-77a9a385d5b3
COVAR,Compatibility,"COVAR(array1,array2)","Returns covariance, the average of the products of paired deviations",https://support.microsoft.com/en-us/office/covar-function-50479552-2c03-4daf-bd71-a5ab88b2db03
COVARIANCE.P,Statistical,"COVARIANCE.P(array1,array2)","Returns covariance, the average of the products of paired deviations",https://support.microsoft.com/en-us/office/covariance-p-function-6f0e1e6d-956d-4e4b-9943-cfef0bf9edfc
COVARIANCE.S,Statistical,"COVARIANCE.S(array1,array2)","Returns the sample covariance, the average of the products deviations for each data point pair in two data sets",https://support.microsoft.com/en-us/office/covariance-s-function-0a539b74-7371-42aa-a18f-1f5320314977
CRITBINOM,Compatibility,"CRITBINOM(trials,probability_s,alpha)",Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value,https://support.microsoft.com/en-us/office/critbinom-function-eb6b871d-796b-4d21-b69b-e4350d5f407b
CSC,Math and trigonometry,CSC(number),Returns the cosecant of an angle,https://support.microsoft.com/en-us/office/csc-function-07379361-219a-4398-8675-07ddc4f135c1
CSCH,Math and trigonometry,CSCH(number),Returns the hyperbolic cosecant of an angle,https://support.microsoft.com/en-us/office/csch-function-f58f2c22-eb75-4dd6-84f4-a503527f8eeb
CUBEKPIMEMBER,Cube,"CUBEKPIMEMBER(connection, kpi_name, kpi_property, [caption])","Returns a key performance indicator (KPI) name, property, and measure, and displays the name and property in the cell. A KPI is a quantifiable measurement, such as monthly gross profit or quarterly employee turnover, used to monitor an organization's performance.",https://support.microsoft.com/en-us/office/cubekpimember-function-744608bf-2c62-42cd-b67a-a56109f4b03b
CUBEMEMBER,Cube,"CUBEMEMBER(connection, member_expression, [caption])",Returns a member or tuple in a cube hierarchy. Use to validate that the member or tuple exists in the cube.,https://support.microsoft.com/en-us/office/cubemember-function-0f6a15b9-2c18-4819-ae89-e1b5c8b398ad
CUBEMEMBERPROPERTY,Cube,"CUBEMEMBERPROPERTY(connection, member_expression, property)",Returns the value of a member property in the cube. Use to validate that a member name exists within the cube and to return the specified property for this member.,https://support.microsoft.com/en-us/office/cubememberproperty-function-001e57d6-b35a-49e5-abcd-05ff599e8951
CUBERANKEDMEMBER,Cube,"CUBERANKEDMEMBER(connection, set_expression, rank, [caption])","Returns the nth, or ranked, member in a set. Use to return one or more elements in a set, such as the top sales performer or top 10 students.",https://support.microsoft.com/en-us/office/cuberankedmember-function-07efecde-e669-4075-b4bf-6b40df2dc4b3
CUBESET,Cube,"CUBESET(connection, set_expression, [caption], [sort_order], [sort_by])","Defines a calculated set of members or tuples by sending a set expression to the cube on the server, which creates the set, and then returns that set to Microsoft Office Excel.",https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9
CUBESETCOUNT,Cube,CUBESETCOUNT(set),Returns the number of items in a set.,https://support.microsoft.com/en-us/office/cubesetcount-function-c4c2a438-c1ff-4061-80fe-982f2d705286
CUBEVALUE,Cube,"CUBEVALUE(connection, [member_expression1], [member_expression2], …)",Returns an aggregated value from a cube.,https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0
CUMIPMT,Financial,"CUMIPMT(rate, nper, pv, start_period, end_period, type)",Returns the cumulative interest paid between two periods,https://support.microsoft.com/en-us/office/cumipmt-function-61067bb0-9016-427d-b95b-1a752af0e606
CUMPRINC,Financial,"CUMPRINC(rate, nper, pv, start_period, end_period, type)",Returns the cumulative principal paid on a loan between two periods,https://support.microsoft.com/en-us/office/cumprinc-function-94a4516d-bd65-41a1-bc16-053a6af4c04d
DATE,Date and time,"DATE(year,month,day)",Returns the serial number of a particular date,https://support.microsoft.com/en-us/office/date-function-e36c0c8c-4104-49da-ab83-82328b832349
DATEDIF,Date and time,"DATEDIF(start_date,end_date,unit)","Calculates the number of days, months, or years between two dates. This function is useful in formulas where you need to calculate an age.",https://support.microsoft.com/en-us/office/datedif-function-25dba1a4-2812-480b-84dd-8b32a451b35c
DATEVALUE,Date and time,DATEVALUE(date_text),Converts a date in the form of text to a serial number,https://support.microsoft.com/en-us/office/datevalue-function-df8b07d4-7761-4a93-bc33-b7471bbff252
DAVERAGE,Database,"DAVERAGE(database, field, criteria)",Returns the average of selected database entries,https://support.microsoft.com/en-us/office/daverage-function-a6a2d5ac-4b4b-48cd-a1d8-7b37834e5aee
DAY,Date and time,DAY(serial_number),Converts a serial number to a day of the month,https://support.microsoft.com/en-us/office/day-function-8a7d1cbb-6c7d-4ba1-8aea-25c134d03101
DAYS,Date and time,"DAYS(end_date, start_date)",Returns the number of days between two dates,https://support.microsoft.com/en-us/office/days-function-57740535-d549-4395-8728-0f07bff0b9df
DAYS360,Date and time,"DAYS360(start_date,end_date,[method])",Calculates the number of days between two dates based on a 360-day year,https://support.microsoft.com/en-us/office/days360-function-b9a509fd-49ef-407e-94df-0cbda5718c2a
DB,Financial,"DB(cost, salvage, life, period, [month])",Returns the depreciation of an asset for a specified period by using the fixed-declining balance method,https://support.microsoft.com/en-us/office/db-function-354e7d28-5f93-4ff1-8a52-eb4ee549d9d7
DBCS,Text,DBCS(text),Changes half-width (single-byte) English letters or katakana within a character string to full-width (double-byte) characters,https://support.microsoft.com/en-us/office/dbcs-function-a4025e73-63d2-4958-9423-21a24794c9e5
DCOUNT,Database,"DCOUNT(database, field, criteria)",Counts the cells that contain numbers in a database,https://support.microsoft.com/en-us/office/dcount-function-c1fc7b93-fb0d-4d8d-97db-8d5f076eaeb1
DCOUNTA,Database,"DCOUNTA(database, field, criteria)",Counts nonblank cells in a database,https://support.microsoft.com/en-us/office/dcounta-function-00232a6d-5a66-4a01-a25b-c1653fda1244
DDB,Financial,"DDB(cost, salvage, life, period, [factor])",Returns the depreciation of an asset for a specified period by using the double-declining balance method or some other method that you specify,https://support.microsoft.com/en-us/office/ddb-function-519a7a37-8772-4c96-85c0-ed2c209717a5
DEC2BIN,Engineering,"DEC2BIN(number, [places])",Converts a decimal number to binary,https://support.microsoft.com/en-us/office/dec2bin-function-0f63dd0e-5d1a-42d8-b511-5bf5c6d43838
DEC2HEX,Engineering,"DEC2HEX(number, [places])",Converts a decimal number to hexadecimal,https://support.microsoft.com/en-us/office/dec2hex-function-6344ee8b-b6b5-4c6a-a672-f64666704619
DEC2OCT,Engineering,"DEC2OCT(number, [places])",Converts a decimal number to octal,https://support.microsoft.com/en-us/office/dec2oct-function-c9d835ca-20b7-40c4-8a9e-d3be351ce00f
DECIMAL,Math and trigonometry,"DECIMAL(text, radix)",Converts a text representation of a number in a given base into a decimal number,https://support.microsoft.com/en-us/office/decimal-function-ee554665-6176-46ef-82de-0a283658da2e
DEGREES,Math and trigonometry,DEGREES(angle),Converts radians to degrees,https://support.microsoft.com/en-us/office/degrees-function-4d6ec4db-e694-4b94-ace0-1cc3f61f9ba1
DELTA,Engineering,"DELTA(number1, [number2])",Tests whether two values are equal,https://support.microsoft.com/en-us/office/delta-function-2f763672-c959-4e07-ac33-fe03220ba432
DEVSQ,Statistical,"DEVSQ(number1, [number2], ...)",Returns the sum of squares of deviations,https://support.microsoft.com/en-us/office/devsq-function-8b739616-8376-4df5-8bd0-cfe0a6caf444
DGET,Database,"DGET(database, field, criteria)",Extracts from a database a single record that matches the specified criteria,https://support.microsoft.com/en-us/office/dget-function-455568bf-4eef-45f7-90f0-ec250d00892e
DISC,Financial,"DISC(settlement, maturity, pr, redemption, [basis])",Returns the discount rate for a security,https://support.microsoft.com/en-us/office/disc-function-71fce9f3-3f05-4acf-a5a3-eac6ef4daa53
DMAX,Database,"DMAX(database, field, criteria)",Returns the maximum value from selected database entries,https://support.microsoft.com/en-us/office/dmax-function-f4e8209d-8958-4c3d-a1ee-6351665d41c2
DMIN,Database,"DMIN(database, field, criteria)",Returns the minimum value from selected database entries,https://support.microsoft.com/en-us/office/dmin-function-4ae6f1d9-1f26-40f1-a783-6dc3680192a3
DOLLAR,Text,"DOLLAR(number, [decimals])","Converts a number to text, using the $ (dollar) currency format",https://support.microsoft.com/en-us/office/dollar-function-a6cd05d9-9740-4ad3-a469-8109d18ff611
DOLLARDE,Financial,"DOLLARDE(fractional_dollar, fraction)","Converts a dollar price, expressed as a fraction, into a dollar price, expressed as a decimal number",https://support.microsoft.com/en-us/office/dollarde-function-db85aab0-1677-428a-9dfd-a38476693427
